audio,text,language,confidence,emotion
pxOI0SnfsWE_SPEAKER_00_5.wav,And then we grow bored of it. You need to get outside your comfort zone.,en-IN,1,neutral
n9TeF65UYXM_SPEAKER_00_0.wav,"they found that attractive women, the most attractive women who are rated on their attractiveness, got approached less than unattractive women who didn't signal enough. fascinating. So if you're an attractive woman and you don't signal enough, you won't be approached. Do you have to approach more based on how objectively attractive you are? You have to be available more. So I think we use attractiveness as an excuse. I'm not pretty enough or I'm not this enough. No.",en-IN,1,neutral
R3kBTJ-SBiM_SPEAKER_00_4.wav,"I need you to get this done today. They're bored, they're uninterested in what they're saying, and they're not connected to it. One sound of inflection that tends to be really pervasive in everything that we hear is this idea of uptalking. Everything ends with a question.",en-IN,1,formal
njcjmVVJUVU_SPEAKER_00_0.wav,"One by one, anyone who has challenged Donald Trump has ended up on his hit list, and today, I proudly join that list.",en-IN,1,angry
1unVwByrO8w_SPEAKER_00_6.wav,"You'd think we would have learned that lesson by now, but it seems like every so often we have to relearn that lesson again.",en-IN,1,neutral
3k_wxTkYN50_SPEAKER_00_2.wav,I was always what my grade school teachers would call a worrier.,en-IN,1,neutral
ikzwfydV37E_SPEAKER_01_4.wav,Because if you recognize you're never going to change this person because somebody,en-IN,1,neutral
8L-GrDV0Gqw_SPEAKER_00_0.wav,"Today, I'll be talking to you about how to get rid of loneliness and become happy. The first strategy to get rid of loneliness is to start talking with as many people as you can. How many times though, do you go",en-IN,1,happy
vZ46Ov1zncY_SPEAKER_00_4.wav,You could try changing your context and surrounding yourself with other people who also want to learn.,en-IN,1,neutral
ikzwfydV37E_SPEAKER_01_1.wav,"I'm gonna be a doormat? No, right now you are a doormat because you're tolerating the behavior. This isn't about tolerating any kind of abuse or any kind of awful behavior. This is about seeing it for what it is. This is about saying let them.",en-IN,1,angry
Xk577wVV2Sk_SPEAKER_00_0.wav,"You may feel guarded when you look at it, maybe even a little ashamed, maybe even proud.",en-IN,1,happy
6pfmmv9Kzmo_SPEAKER_00_0.wav,"If your happiness depends on the actions of others, you're at mercy of things that you can't control.",en-IN,1,formal
ikzwfydV37E_SPEAKER_01_0.wav,"is that this is not a license to just cut off communication and shrug your shoulders and like, let them. It's not supposed to make you lonely. And it's also not because I get a lot of pushback from people going, well, I'm just supposed to let them be rude. I'm just supposed to let them do this and let",en-IN,1,angry
Xk577wVV2Sk_SPEAKER_00_3.wav,"Women who've been sexually assaulted, athletes who bend their knee as a sign of protest.",en-IN,1,neutral
vZ46Ov1zncY_SPEAKER_00_5.wav,That way you'll be more motivated to use executive function. Don't look for quick fixes.,en-IN,1,formal
jo1KMUDgVeI_SPEAKER_00_0.wav,"I do a lot of like inner inner child work with my therapist and she was like, why don't you find like a photo of yourself and put it on your bathroom mirror so that every morning, every night, every day when you walk into your bathroom mirror, you're looking at her and you're remembering that if you're ever being mean to yourself, you're talking about her.",en-IN,1,neutral
wHeBBX3DZj8_SPEAKER_00_1.wav,for her to be vulnerable with me and share how she was feeling.,en-IN,1,neutral
8L-GrDV0Gqw_SPEAKER_00_4.wav,"Are you just visiting or what city are you from? So start talking with as many people as possible and especially the ones that you normally wouldn't talk to because these are often the ones that we come into contact with on an almost daily basis. If you do this, this will really make a difference.",en-IN,1,neutral
8L-GrDV0Gqw_SPEAKER_00_3.wav,or ask the person something about themselves like,en-IN,1,neutral
pxOI0SnfsWE_SPEAKER_00_1.wav,"that it's now gonna be your job to parent yourself. And by parent yourself, I mean it's your job to make yourself do the crap you don't wanna do. It's very, very simple to get what you want.",en-IN,1,neutral
Y5Gmuq6y9l8_SPEAKER_00_3.wav,"We find it difficult to focus, which is the fact that our mind is overstimulated.",en-IN,1,sad
1unVwByrO8w_SPEAKER_00_2.wav,on a lot of difficult foreign policy problems.,en-IN,1,sad
1JtmvfFV_S8_SPEAKER_00_5.wav,"Or if you are your older self, it's never too late.",en-IN,1,neutral
3k_wxTkYN50_SPEAKER_00_7.wav,"Some semesters I used all of those rest days to the fullest. Others, I didn't need any at all.",en-IN,1,neutral
Xk577wVV2Sk_SPEAKER_00_1.wav,But you need to begin to embrace it. We all come to this world in a body.,en-IN,1,neutral
6pfmmv9Kzmo_SPEAKER_00_2.wav,"Me and my therapist talk about like my higher goddess, my higher self. Like I always want to live there.",en-IN,1,neutral
1unVwByrO8w_SPEAKER_00_0.wav,"had worked for, um, for a long stretch of time, uh, before.",en-IN,1,neutral
njcjmVVJUVU_SPEAKER_00_1.wav,"After calling for my arrest last year, Donald Trump directed his Department of Justice to investigate me.",en-IN,1,neutral
-OiCXpYQIWI_SPEAKER_00_1.wav,"After that, I became laser focused on cracking the code and introducing myself. Think sound bite, not data dump. That's because with today's multitasking attention deficit audiences, it's been said, you have a better chance of engaging with a goldfish than the person that you're talking to.",en-IN,1,formal
-OiCXpYQIWI_SPEAKER_00_2.wav,"A 20-word introduction is designed to grab someone's attention and get them to say,",en-IN,1,neutral
Xk577wVV2Sk_SPEAKER_00_2.wav,"people with physical or neurological difficulties, environmentally impacted communities, immigrants, boys, girls, boys who want to dress as girls, girls with veils,",en-IN,1,sad
QpoaNklmRPc_SPEAKER_00_0.wav,"Let's talk about oral health. Most all, not all, but most all mouthwashes, especially those containing alcohol.",en-IN,1,neutral
Xk577wVV2Sk_SPEAKER_00_4.wav,"Black, white, Asian, Native American, my sister, you or me.",en-IN,1,neutral
1unVwByrO8w_SPEAKER_00_1.wav,"And then in retrospect, it's a reminder.",en-IN,1,neutral
-OiCXpYQIWI_SPEAKER_00_3.wav,"Instead, explain what you can do for them.",en-IN,1,neutral
n9TeF65UYXM_SPEAKER_00_1.wav,"Actually, some unattractive women whose signaled availability got approached more.",en-IN,1,formal
6pfmmv9Kzmo_SPEAKER_00_3.wav,"When I'm there, you can't take that away from me. That that's mine.",en-IN,1,neutral
3k_wxTkYN50_SPEAKER_00_3.wav,"But later on, we found out that I have trauma-induced anxiety and clinical depression.",en-IN,1,neutral
Ag_a3VAQlgk_SPEAKER_00_3.wav,"because all of that, all of that infrared light is being reflected off. So, we know from years and decades of data that people who live in green spaces have reduced diabetes, reduced hypertension, reduced mortality.",en-IN,1,formal
vZ46Ov1zncY_SPEAKER_00_3.wav,"If you really want to improve your executive function in a way that matters for your life, you have to understand how it's influenced by context. Let's say that you want to learn Spanish.",en-IN,1,formal
wHeBBX3DZj8_SPEAKER_00_3.wav,"Because I haven't made space to deal with my own fatigue. If I had set aside time that week to spend time with myself,",en-IN,1,angry
njcjmVVJUVU_SPEAKER_00_2.wav,"Put my name on every and any enemies list you have, but leave my wife and family out of your personal vendetta.",en-IN,1,angry
vZ46Ov1zncY_SPEAKER_00_6.wav,Think about the context and how you can make your goals matter more to you.,en-IN,1,formal
1JtmvfFV_S8_SPEAKER_00_0.wav,"is that if we lift weights, we're going to get big and bulky. Now I can tell you that it takes years of very serious training.",en-IN,1,neutral
1unVwByrO8w_SPEAKER_00_4.wav,taking the time to explore diplomacy and exhaust,en-IN,1,neutral
1unVwByrO8w_SPEAKER_00_3.wav,"Um, the notion that we can just bully our way or bomb our way to solutions.",en-IN,1,neutral
1JtmvfFV_S8_SPEAKER_00_6.wav,"This is not about aesthetics. This is about health, and physically strong women are healthy women.",en-IN,1,neutral
lhyN-nElBlQ_SPEAKER_00_0.wav,"If someone else is trying to control you, it can often come in the form of care.",en-IN,1,neutral
Xk577wVV2Sk_SPEAKER_00_7.wav,I hope that it teaches you that nobody has a claim on the word normal.,en-IN,1,neutral
jo1KMUDgVeI_SPEAKER_00_1.wav,and I was looking through old like photo books and I flipped to a page and there was a photo I'd never seen of myself ever. And it was just me as a little girl with a bow in my hair and a dress on and I have like a little alien tattoo or something right here. And I'm like have this big cheesy smile on my face and I was like that's the photo. So I pasted it on my bathroom mirror and I talked to her. And I'm always like if I'm ever looking in the mirror and being negative towards myself or anything I always look right over to her and I'm like she's dope and I love her. And so,en-IN,1,happy
-OiCXpYQIWI_SPEAKER_00_4.wav,I called the difference between an about me versus an about you introduction. An about me introduction sounds like this.,en-IN,1,neutral
xmQVy2w3FyQ_SPEAKER_00_2.wav,We need to start shifting our attention away from work and making money to having more and better time.,en-IN,1,neutral
vZ46Ov1zncY_SPEAKER_00_0.wav,"Now, as a cognitive scientist, I know that this is because I was using a lot of something called executive function.",en-IN,1,formal
R3kBTJ-SBiM_SPEAKER_00_1.wav,"In the two extremes, we have a highly sing-songy rate where it sounds like you're talking to a 2-year-old all the time.",en-IN,1,neutral
Y5Gmuq6y9l8_SPEAKER_00_2.wav,We like to think of distraction as the enemy of focus.,en-IN,1,neutral
R3kBTJ-SBiM_SPEAKER_00_2.wav,and you're perceived as being unintelligent in what you're saying.,en-IN,1,neutral
pxOI0SnfsWE_SPEAKER_00_0.wav,"is that when you become 18,",en-IN,1,neutral
vZ46Ov1zncY_SPEAKER_00_1.wav,"Executive function is our amazing ability to consciously control our thoughts, emotions, and actions in order to achieve goals.",en-IN,1,formal
3k_wxTkYN50_SPEAKER_00_8.wav,"But the fact that they were always an option is what kept me a happy, healthy, and successful student.",en-IN,1,happy
Y5Gmuq6y9l8_SPEAKER_00_1.wav,"I'm one of the laziest people you'll ever meet, and I think that's what gives me so many ideas to talk and write about.",en-IN,1,neutral
1unVwByrO8w_SPEAKER_00_5.wav,"Uh, the necessity of going to war.",en-IN,1,neutral
n9TeF65UYXM_SPEAKER_00_3.wav,"When you think about your hair, your outfit, how you look, how you smell, all those things are great, but they will not work if you do not know the body language signals of availability.",en-IN,1,happy
6pfmmv9Kzmo_SPEAKER_00_1.wav,where I want to be. So I I always want to live in like,en-IN,1,neutral
R3kBTJ-SBiM_SPEAKER_00_0.wav,Have you ever considered how others perceive you based on the sound of your voice? So the intonational patterns of speech are what make it interesting.,en-IN,1,formal
Ag_a3VAQlgk_SPEAKER_00_1.wav,"then you would without that environment. You could check this out. You go to Google and just type in infrared photography and click images. And you will see any kind of infrared filtered light when it shows a tree or grass, it it looks like it's lit up like it's got snow on it. It's bright white. It's very reflective. On a hot summer day if you go outside and touch some object that's in the sun, it's going to be extremely hot. Touch a leaf.",en-IN,1,formal
1JtmvfFV_S8_SPEAKER_00_2.wav,"And if you take a look around the gym, you can see that achieving the physique of somebody like the Hulk is actually difficult even for most men. All humans have muscles. Muscles make us healthy. The amount of work required to see benefit is actually quite small.",en-IN,1,sad
iNw8-a_I0mY_SPEAKER_00_0.wav,"The number one reason why new businesses fail is the expectation that you are going to get everything that you want when you want it. If you get everything that you want instantly, and you haven't built the foundation and the tools needed to manage what comes with it, it has the potential to decimate everything that you've built.",en-IN,1,formal
d6IYVBk2jpI_SPEAKER_00_1.wav,"Nothing changed. You know, it's up to the individuals to define that for themselves. That's the keyword, yeah.",en-IN,1,neutral
8L-GrDV0Gqw_SPEAKER_00_2.wav,"And instead of just answering the question, you also initiated a small conversation.",en-IN,1,neutral
ikzwfydV37E_SPEAKER_01_3.wav,"You for the first time see with clear eyes exactly who you're dealing with, and then you got to say the let me part.",en-IN,1,neutral
xmQVy2w3FyQ_SPEAKER_00_0.wav,"We've all heard the saying, money doesn't buy happiness. The best data suggests that money protects against sadness, but doesn't buy joy. But luckily for us, just like people who are physically fit, the time rich among us make small, simple decisions in their everyday lives that allow them to have more and better time. Time is hard to account for. It is easily spent, squandered, stolen, and lost.",en-IN,1,sad
n9TeF65UYXM_SPEAKER_00_2.wav,And so availability actually makes you more attractive.,en-IN,1,formal
Y5Gmuq6y9l8_SPEAKER_00_4.wav,"So for 2 weeks, make your mind less stimulated. There are so many great features on phones, on devices that'll let us eliminate eliminate a lot of the time we waste on our devices. Use those features.",en-IN,1,happy
ikzwfydV37E_SPEAKER_01_2.wav,"Let them be who they are, and let me see this with very clear eyes because I know there is no way I can change who this person is. Mm-hmm. And if somebody is treating you poorly,",en-IN,1,neutral
xmQVy2w3FyQ_SPEAKER_00_1.wav,"To overcome our overwhelming feelings of time poverty,",en-IN,1,neutral
3k_wxTkYN50_SPEAKER_00_6.wav,"This was all happening during a time when mental health wasn't being talked about as much as it is now, especially youth mental health.",en-IN,1,neutral
Ag_a3VAQlgk_SPEAKER_00_0.wav,"Believe it or not, but the leaves on trees and grass, anything with chlorophyll is highly reflective of infrared light. What that means is that if you go out outside on a sunny day versus going outside on a sunny day surrounded by green, green spaces, you're going to get probably 2, 3, 4 times more infrared light in that environment.",en-IN,1,formal
